example_english,example_korean
I treasure my soft teddy bear.,나는 내 부드러운 곰인형을 간직해요.
The treasure is hidden in a chest.,보물이 상자 안에 숨겨져 있어요.
The doctor gave treatment to my cut.,의사가 제 상처에 치료를 해줬어요.
Everyone deserves fair treatment from others.,모두는 다른 사람에게 공평한 대우를 받아요.
I see a big tree.,나는 큰 나무를 봐요.
The trend is to use bright colors in class.,교실에서 밝은 색을 사용하는 것이 경향이에요.
My friend wears a trendy hat.,내 친구가 최신 유행의 모자를 쓰고 있어요.
I learn through trial and error every day.	,나는 매일 시행착오를 통해 배워요.
The tribe plays in a sunny forest.,부족이 햇볕이 잘 드는 숲에서 놀고 있어요.
The tribe lives by the river.,무리가 강가에 살고 있어요.
One trillion is a giant number.,1조는 거대한 숫자예요.
I sometimes trip on my shoelace.	,나는 때때로 신발끈에 걸려 넘어져요.
We enjoy a fun trip with our family.,우리는 가족과 함께 즐거운 여행해요.
I often trip over my toy.,나는 내 장난감에 걸려 넘어져요.
I won a trophy at our school contest.,나는 우리 학교 경연에서 트로피를 받았어요.
My true friend always plays fairly.,내 진실한 친구는 항상 공평하게 놀아요.
I try on a hat.,나는 모자를 입어봐요.
I will try a yummy apple pie.	,맛있는 사과 파이를 먹어볼게요.
I try to learn new words.,나는 새로운 단어를 배우려고 노력해요.
I will try on the hat.,나는 모자를 입어 보고 있어요.
I join the tryout for our school play.	,저는 우리 학교 연극의 선발 심사에 참여해요.
The tube runs fast under the busy city.,지하철이 붐비는 도심 아래를 빠르게 달려요.
I rolled a ball	through the tube.,나는 관을 통해 공을 굴렸어요.
A tulip is blooming in the garden.,정원에서 튤립이 활짝 피어요.
The turkey is eating corn in the field.,칠면조가 밭에서 옥수수를 먹고 있어요.
We learn Turkish words in class.	,우리는 교실에서 터키어 단어를 배워요.
I like Turkish food.,나는 터키의 음식을 좋아해요.
Leaves turn red in autumn.,가을에 잎들이 빨갛게 변해요.
Time will turn and bring tomorrow.,시간이 지나고 내일이 와요.
Turn the wheel to change direction.,바퀴를 돌려 방향을 바꿨어요.
It is my turn to play.,지금 내 차례에요.
"When you play,	turn around to catch a ball.","놀 때,	공을 잡으려고 돌아서요."
"After playing, please turn around and come back.",놀고 나서 되돌아오세요.
Turn around slowly to see the rainbow.,무지개를 보려고 천천히 뒤돌아봐요.
Please turn down the sound on the radio.,라디오 소리를 줄여 주세요요.
I turn down a cookie when I am full.,나는 배부를 때 쿠키를 거절해요.
The caterpillar will turn into a beautiful butterfly.,애벌레가 아름다운 나비로 변해요.
Please turn off the light.,불을 꺼 주세요요.
Please turn on	the light.,불을 켜 주세요요.
I turn my eyes to a rainbow.,나는 무지개로 눈길을 돌리요.
Please turn out the light at bedtime.,잠자기 전에 불을 꺼 주세요.
My cake turned out delicious.,내 케이크가 맛있게 나왔어요.
The rainbow turned out bright and pretty.,무지개가 밝게 나타났어요.
The cake will turn out delicious.,케이크가 맛있게 나왔어요.
It will turn out fine.,잘 되어가요.
Please turn over the page.,페이지를 뒤집어요.
Please turn over your paper to me.,네 종이를 내게 넘겨주어요.
I reached a turning point when I helped my friend.,친구를 도왔을 때 전환점이 되었어요.
The turtle swims slowly in the pond.,거북이가 연못에서 천천히 헤엄쳐요.
I type	my name on the computer.,나는	컴퓨터로 내 이름을 입력해요.
This type of toy is fun.,이 유형의 장난감은 재미있어요.
The type in this book is easy to read.,이 책의 활자가 읽기 쉬워요.
We show ubuntu when we share our toys.,장난감을 같이 나눌 때 공유 정신을 보여줘요.
I see an ugly snail on the leaf.,못생긴 달팽이가 잎 위에 있어요.
The ugly bug crawls on a green leaf.,볼품없는 벌레가 초록 잎 위를 기어가고 있어요.
I play the ukulele in my room.,나는 방에서 우쿨렐레를 연주해요.
She opens her umbrella when it rains.,비가 올 때 우산을 펴요.
The toy car moves unbelievably fast.,내 장난감 차가 믿을 수 없을 정도로 빨리 달려요.
The weather is uncertain today.,오늘 날씨는 불확실해요.
My uncle plays with me every Saturday.,삼촌은 매주 토요일에 저와 함께 놀아요.
The answer is unclear.	,정답이 불확실해요.	
This chair is uncomfortable when I sit.,이 의자는 앉을 때 불편해요.
My chair is uncomfortable because it wobbles.,내 의자가 흔들려서 불안정해요.
The ball is under the chair.,공이 의자 아래에 있어요.
The ball is under the chair.,공이 의자 밑에 있어요.
I wear my underpants every morning.	,나는 매일 아침 속옷을 입어요.
I understand my friend	when he smiles.,저는 친구가 웃을 때	이해해요.
The underwater sea holds many colorful fish.,물속의 바다에는 많은 형형색색의 물고기가 살고 있어요.
"Unfortunately, my toy broke during playtime.",불행하게도 내 장난감이 놀 때 부서졌어요.
The unfriendly boy does not share his toys.,비우호적인 소년이 장난감을 나누지 않아요.
Too much candy is unhealthy.,사탕이 너무 많으면 건강하지 못해요.
Unhealthy food can make you sick.,건강하지 못한 음식이 너를 아프게 만들 수 있어요.
My toy is unique and fun.,내 장난감은 독특하고 재미있어요.
My toy is unique because it is the only one I have.,내 장난감은 유일한 것이어서 내가 가진 유일한 것이에요.
A smile is a universal sign of friendship.,미소는 보편적인 우정의 표시예요.
The universal sky is full of stars.,우주적인 하늘은 별들로 가득해요.
The universe is huge and full of stars.,우주는 거대하고 별들이 가득해요.
I saw an unknown bird in the park.,나는 공원에서 알려지지 않은 새를 봤어요.
"Unlike my friend, I like red apples.",친구와는 다르게 나는 빨간 사과를 좋아해요.
"Unlike my friend, I like drawing.",친구와 달리 저는 그림 그리기를 좋아해요.
Please unplug the charger after use.,사용 후에 충전기 플러그를 빼요.
The unstable toy falls off the shelf.	,불안정한 장난감이 선반에서 떨어져요.
The story is untrue.,이 이야기는 진실이 아니에요.
I saw an unusual rainbow.,나는 특이한 무지개를 봤어요.
The balloon goes up in the sky.,풍선이 하늘 위로 올라가요.
The road goes up and down.,길이 위와 아래로 굽어요.
The kite flies up and down in the wind.,연이 바람 속에서 위 아래로 날고 있어요.
Mom does upcycling with old cans to make toys.,엄마가 오래된 깡통으로 장난감을 만들어요.
I will upgrade my drawing with bright colors.,내 그림을 밝은 색으로 개선할 거예요.
I will upload my drawing to the website.,내 그림을 웹사이트에 업로드할게요.
My day had ups and downs.,내 하루는 기복이 있었어요.
Tom goes upstairs to get his snack.,Tom은 위층으로 가서 간식을 가져와요.
The kite flies upwards in the wind.,연이 바람 속에서 위쪽으로 날아가요.
Lucy ran urgently to catch the bus.,루시는 버스를 잡으려고 급하게 달렸어요.
I practice usage of words in class.,나는 수업 시간에 단어의 용법을 배워요.
We check the usage of water every day.,우리는 매일 물 사용량을 확인해요.
The use of this box is for storing toys.	The use of this box is for storing toys.,이 상자의 용도는 장난감을 보관하는 거예요.	이 상자의 용도는 장난감을 보관하는 거예요.
I use up all my crayons when I color.,색칠할 때 모든 크레용을 다 써버려요.
I used to play outside every day.,난 매일 밖에서 놀곤 했어요.
The useful pencil helps me draw pictures.,쓸모 있는 연필이 나에게 그림 그리기를 도와줘요.
This toy is useless.,이 장난감은 쓸모없어요.
I eat my usual lunch at school.,나는 학교에서 평소의 점심을 먹어요.
I usually play outside after school.,나는 보통 방과 후에 밖에서 놀아요.
I usually play with my friends.,저는 보통 친구들과 놀아요.
We go on vacation to the sunny beach.,우리는 화창한 해변으로 휴가를 가요.
I enjoy my vacation.,나는 방학을 즐겨요.
This ring is very valuable.,이 반지는 매우 귀중해요.
You are a valued friend.,너는 소중한 친구예요.
I put a flower in the vase.,나는 꽃병에 꽃을 넣었어요.
The vast park is fun to play in.,광대한 공원에서 놀기가 재밌어요.
I eat a vegetable with my lunch.,점심과 함께 채소를 먹어요.
The puppy is very cute.,강아지가 매우 귀여워요.
She is the very best friend.,그녀는 바로 그 최고 친구예요.
The phone vibrates when it rings.,전화기가 울릴 때 진동해요.
We celebrated our victory together.,우리 모두가 승리를 축하했어요.
I watch a video clip 	on my tablet.,내 태블릿에서 동영상을 봐요.
We will video-record our class play.,저희는 우리 반 연극을 녹화해요.
He likes Vietnamese food.,그는 베트남 음식을 좋아해요.
A villager helps his neighbors in our town.,마을 사람이 우리 동네에서 이웃을 도와요.
I add vinegar to my salad.,나는 샐러드에 식초를 넣어요.
The wind blows violently.,바람이 격렬하게 불고 있어요.
The violinist plays a lovely tune on stage.,바이올린 연주자가 무대에서 멋진 곡을 연주해요.
We play in a virtual world.,우리 모두 가상의 세상에서 놀아요.
We play in a virtual world.,우리는 가상 세계에서 놀아요.
Let's visit the zoo today.,오늘 동물원을 방문해요.
The visiting team is here to play.,원정 팀이 경기를 하러 왔어요.
I wear a cap with a visor.,나는 챙이 있는 모자를 써요.
We learn math visually	with fun pictures.,우리는 재미있는 그림으로 수학을 시각적으로 배워요.
I learn vocabulary at school.,나는 학교에서 어휘를 배워요.
I voice my idea to my teacher.,나는 선생님께 내 의견을 표현해요.
I use my voice to sing my favorite song.,나는 내 목소리로 좋아하는 노래를 불러요.
I saw a volcano with red lava.,빨간 용암이 있는 화산을 봤어요.
We play volleyball with a colorful ball.,우리는 알록달록한 배구공으로 배구를 해요.
I do volunteer work to help my community.,저는 우리 동네를 돕기 위해 자원 봉사를 해요.
The dog wags its tail.,강아지가 꼬리를 흔들어요.
The wagon carries heavy loads today.,짐마차가 무거운 짐을 옮겨요.
A wagon carries heavy cargo to the town.,화물기차가 무거운 짐을 마을로 옮기고 있어요.
I wear a belt around my waist.,나는 허리 둘레에 벨트를 매고 있어요.
I wait for my friend at the park.,나는 공원에서 친구를 기다리고 있어요.
I wait for my dad at the bus stop.,나는 버스 정류장에서 아빠를 기다리고 있어요.
Please wait in line for your turn.,제발 너의 차례를 위해 줄 서서 기다리세요.
I wake up when the sun rises.,나는 해가 뜰 때 깨요.
I wake up at 7 in the morning.,나는 아침 7시에 잠에서 깨요.
I walk in the park.	I see birds.,저는 공원에서 걸어요.	새들을 봐요.
I walk my dog in the park.,나는 공원에서 내 강아지를 산책시켜요.
I walk my friend home.,친구를 집까지 바래다주고 있어요.
The walk is a nice trail in the park.,산책로는 공원에 있는 예쁜 길이에요.
The wall is tall.,벽이 높아요.
We wander in the park.,우리는 공원에서 돌아다녀요.
I want a red apple.,나는 빨간 사과를 원해요.
War is a big fight between countries.	,전쟁은 나라들 사이의 큰 싸움이에요.
The warm sun makes me happy.,따뜻한 태양이 나를 행복하게 해요.
We warm up before class.,우리 모두 수업 전에 준비해요.
I warm up	before I play games.,나는 게임하기 전에	준비 운동을 해요.
The brave warrior protects his town.,용사가 마을을 지켜요.
I wash	my hands every day.,나는 매일 손을 씻어요.
I wash my hands before dinner.,저는 저녁 먹기 전에 손을 씻어요.
The soft wash of water calms my heart.,부드러운 물살이 내 마음을 진정시켜요.
I use wash on my face.,나는 화장수를 얼굴에 사용해요.
The rain will wash away our sandcastles.,비가 오면 우리의 모래성이 사라져요.
The strong wind can wash away the paper boat.,강한 바람이 종이배를 휩쓸어 가요.
I wash the dishes after dinner.,저녁 후에 설거지를 해요.
Watch your step on the slippery floor.,미끄러운 바닥에서 발을 조심해요.
I watch a cartoon on TV.,저는 텔레비전에서 만화를 봐요.
I watch the fish swim in the tank.	,나는 어항에서 물고기가 헤엄치는 걸 보고 있어요.
I wear my watch when I play with my friends.,나는 친구들과 놀 때 내 손목시계를 차요.
I look at my watch every morning.,나는 매일 아침 내 시계를 봐요.
Watch out for the slippery floor.,미끄러운 바닥을 조심해요.
Watch out for the slippery steps.,미끄러운 계단을 주의해요.
My mom will watch over me at home.,엄마가 집에서 나를 감시하고 있어요.
I watch over my bike at school.,나는 학교에서 내 자전거를 경계하고 있어요.
I watch over my little cat at night.,나는 밤에 작은 고양이를 보살펴요.
My teacher watches over us in class.,선생님이 우리를 지켜봐요.
My mouth waters when I see a yummy cake.,맛있는 케이크를 보면 군침이 돌아요.
I water the plant every day.,나는 매일 식물에 물을 줘요.
I drink water every day.,나는 매일 물을 마셔요.
A water turtle swims slowly in the pond.,물속의 거북이가 연못에서 천천히 헤엄치고 있어요.
The water pipe carries water to our home.,수도관이 우리 집에 물을 보내줘요.
I paint a pretty picture with watercolor.,저는 수채물감으로 예쁜 그림을 그려요.
The waterfall flows fast on a bright day.,폭포가 밝은 날 빠르게 흐르고 있어요.
I eat a sweet watermelon.,나는 달콤한 수박을 먹어요.
The moon waxes slowly in the night sky.,달이 천천히 커져요.
A candle is made from wax.,초는 밀랍으로 만들어졌어요.
We follow the way to school.,우리 모두 학교 가는 길을 따라가요.
This is the way to share toys.,장난감을 나누는 방법이에요.
We play in the park.,우리는 공원에서 놀아요.
My weakness is not sharing my toys.,내 약점은 장난감을 나누지 않는 거예요.
We build our wealth by saving money.,우리는 돈을 모아 재산을 쌓고 있어요.
I wear a red shirt every day.,나는 매일 빨간 셔츠를 입고 있어요.
I wear my hat today.,나는 오늘 모자를 쓰고 있어요.
Old shoes wear when you run too much.,오래된 신발은 너무 많이 달리면 닳아요.
My shoes will wear out soon.	Keep them clean.,내 신발이 곧 닳을 거예요.	깨끗이 관리해 주세요요.
Playing outside can wear out a child.,밖에서 놀면 아이가 완전히 지치게 돼요.
We will weather the storm together.,함께 폭풍을 견디어요.
The rock will weather under the sun.,돌이 햇빛 아래서 풍화하고 있어요.
The weather is sunny today.,오늘 날씨가 맑아요.
The weather report is on TV.,일기예보가 TV에 나와요.
I weave a colorful scarf with soft yarn.,나는 부드러운 실로 화려한 스카프를 짜요.
The spider spins a pretty web on the wall.,거미가 벽에 예쁜 웹을 만들어요.
The spider makes a sticky web.,거미가 끈적이는 거미줄을 만들고 있어요.
I open the website to play fun games.,나는 재미있는 게임을 하기 위해 웹사이트를 열어요.
A wedding is a fun day for the family.,결혼식은 가족이 함께하는 즐거운 날이에요.
One week has seven days.,한 주는 일곱 날로 이루어져요.
I love the weekend to play with my friends.,나는 주말에 친구들과 놀고 있어요.
I have a weekly soccer game.,저는 매주 축구 경기를 해요.
I weigh my red backpack on the scale.,저는 빨간 배낭을 저울로 재고 있어요.
My backpack weighs three pounds.,내 책가방은 세 파운드 무게예요.
I weigh an apple on a scale.	,저는 사과를 저울에 재보고 있어요.	
The teacher weighs our projects with care.,선생님께서 우리의 프로젝트를 조심스럽게 평가하고 있어요.
I measure the weight of my apple.,내 사과의 무게를 재고 있어요.
The boy lifts a weight at the gym.,소년이 체육관에서 역기를 들어요.
We welcome our friend to our class.,우리 반에 친구를 환영해요.
I see a deep well near my school.,나는 학교 근처에 깊은 우물을 봤어요.
I feel well today.,저는 오늘 건강해요.
I did my homework well.	,숙제를 잘했어요.	
A well-known singer sings a fun song.,유명한 가수가 재미있는 노래를 불러요.
I saw a Western-style house near the park.,나는 공원 근처에 있는 서양식 집을 봤어요.
The wet towel is on the floor.,젖은 수건이 바닥에 있어요.
A duck swims in the wetland.,오리가 습지에서 헤엄치고 있어요.
What is in the bag?,가방 안에 무엇이 있어요.
The child uses a wheelchair to go to school.,어린이가 학교에 가기 위해 바퀴 달린 의자를 사용해요.
Tell me	when you want to play.,놀고 싶을 때	말해 주세요요.
I play outside	when the sun shines.,해가 빛날 때	나는 밖에서 놀아요.
"When it comes to snacks, I like cookies.",간식에 관한 한 나는 쿠키를 좋아해요.
I sing whenever I feel happy.	I sing whenever I feel happy.,나는 기분이 좋을 때마다 노래해요.	나는 기분이 좋을 때마다 노래해요.
Where is my dog?,내 개가 어디에 있어요.
Tom runs fast while Jerry walks slowly.,"톰은 빨리 달리고, 반면에 제리는 천천히 걸어요."
I jump	while my mom claps for me.,엄마가 박수를 치는 동안	나는 뛰어요.
Tom plays outside while Jerry stays home.,톰은 밖에서 놀고 있는 반면 제리는 집에 있어요.
Who is your friend?,누구가 너의 친구에요?
Can you tell me why birds sing?,새들이 노래하는 이유를 말해줄래요?
The butterfly flies widely around the big tree.,나비가 큰 나무 주위를 넓게 날고 있어요.
Daddy loves his wife very much.,아빠가 아내를 아주 많이 사랑해요.
She wears a wig for fun.,그녀는 재미로 가발을 써요.
I think his wild idea is fun.,나는 그의 터무니없는 아이디어가 재미있다고 생각해요.
A wild horse runs in the field.,야생의 말이 들판에서 뛰고 있어요.
I saw wildlife in the green forest.,나는 푸른 숲에서 야생 생물을 봤어요.
The rabbit jumps wildly in the garden.,토끼가 정원에서 미친 듯이 뛰고 있어요.
I will jump high during recess.	,나는 쉬는 시간에 높이 점프할 거예요.
The king's will is kept in a safe box.,왕의 유언은 안전한 상자에 보관되어 있어요.
My will makes me try new things.,내 의지로 나는 새로운 것을 시도해요.
I want to win a prize.,나는 상을 쟁취하고 싶어요.
Our team will win the game.,우리 팀이 게임에서 이겨요.
I win a prize in the game.,저는 게임에서 상을 타요.
I run fast to win a race.,나는 빨리 달려서 경주에 이겨요.
My team will win first place in the game.,우리 팀이 게임에서 우승할 거예요.
The road winds near our school.,길이 우리 학교 근처에서 구불구불 흘러요.
Please wind the yarn around the spool.,실을 원통에 감아 주세요.
The wind blows softly in our school yard.,바람이 우리 학교 운동장에서 부드럽게 불어요.
I see a bird by the window.,창문 옆에 새가 보여요.
"It is windy today, so wear your hat.",오늘 바람이 불어서 모자를 써요.
Tom is the winner.,톰이 승리자예요.
The wiper wipes the rain from the car window.,와이퍼가 차 창문에서 빗물을 닦고 있어요.
My mom shares wisdom in every story.,엄마가 모든 이야기에서 지혜를 나눠주고 있어요.
He answered wisely to a difficult question.,그는 어려운 질문에 현명하게 대답했어요.
I made a wish on a star.,나는 별에게 소원을 빌었어요.
I wish you good luck today.,오늘 너에게 행운을 빌어요.
I play with my friend.,나는 친구와 함께 놀아요.
I draw with a blue pen.,나는 파란 볼펜으로 그림을 그려요.
I love drawing with all one's heart.,나는 진심으로 그림 그리는 것을 사랑해요.
The family welcomed the puppy with open arms.,가족이 강아지를 기쁜 마음으로 맞이했어요.
The witty boy told a funny joke.,재치 있는 소년이 재미있는 농담을 했어요.
The wizard uses a magic wand.,마법사가 마법 지팡이를 사용해요.
The wolf howls at the full moon.,늑대가 보름달에 울고 있어요.
The woman is reading a book.,여자가 책을 읽고 있어요.
I wonder if summer comes soon.,나는 여름이 곧 올지 궁금해요.
I wonder if there is a rainbow today.	,오늘 무지개가 있을까 생각해요.
I feel wonder when I see the stars.,별을 보면 경이가 느껴져요.
This flower is wonderful.,이 꽃이 놀라워요.
The park is wonderful.,공원은 아주 멋져요.
We can build things with wood.,우리는 나무로 물건들을 만들 수 있어요.
I went to the woodshop and saw wooden toys.,나는 목공장에 가서 나무 장난감을 봤어요.
I learn one new word today.,나는 오늘 새로운 낱말을 배워요.
I learned a new word from my teacher.,선생님께서 새 말을 알려주셨어요.
My medicine will work when I take it.,내 약은 먹으면 빨리 작용해요.
The medicine will work when I am sick.,약은 내가 아플 때 효과가 있어요.
I work at school today.	I work at school today.,저는 오늘 학교에서 일해요.	저는 오늘 학교에서 일해요.
My dad is at work.   My dad is at work.,아빠가 회사에서 일해요.   아빠가 회사에서 일해요.
I do work in art class.,미술 시간에 작업을 해요.
I made a work for art class.,저는 미술 시간에 작품을 만들었어요.
My work helps me grow every day.,내 노력이 매일 저를 성장하게 해요.
I know things will work out if we try.,우리가 노력하면 모든 일이 잘 풀려요.
I work out the puzzle by myself.,나는 퍼즐을 알아내요.
I hope our plan will work out well.	,우리 계획이 잘 풀리길 바래요.
We work out the plan for class.,우리는 수업을 위해 계획을 실행해요.
"I work out in the morning, and everything works out fine.","나는 아침에 운동해요, 그리고 모든 일이 잘 풀려요."
I work out the sum when I add numbers.,나는 숫자를 더할 때 합을 계산해요.
The world is big and full of fun.,세계가 크고 재미있어요.
We learned about worldwide cultures.,우리는 세계적인 문화를 배웠어요.
A worm crawls under a leaf.,벌레가 잎 아래에서 기어요.
The spaceship flies through the wormhole.,우주선이 웜홀을 지나고 있어요.
I found a worn teddy bear under the bed.,나는 침대 밑에서 낡은 테디 베어를 찾았어요.
I felt worn after playing with my friends.,친구들과 놀고 나서 몹시 지쳤어요.
The worried girl is waiting for her friend.,걱정스러운 소녀가 친구를 기다리고 있어요.
Don't worry about little mistakes.,작은 실수에 대해 걱정하지 마세요.
My toy is worse than yours.,내 장난감은 너의 것보다 더 나빠요.
My toy is worthless because it is broken.,내 장난감은 부서져서 가치 없어요.
The wrangler rides his horse.,카우보이가 말을 타고 있어요.
The boys wrestle during recess.,소년들이 쉬는 시간에 씨름해요.
The boys wrestle on the playground.,소년들이 놀이터에서 격투하고 있어요.
I put a watch on my wrist.,나는 손목에 시계를 차고 있어요.
I write in my diary.,나는 내 일기에 글을 써요.
Please write down your favorite toy on paper.,종이에 좋아하는 장난감을 적어놓으세요.
Please write down your name.,이름을 적어 주세요.
Look at the written list on the board.	,보드에 문자화된 목록을 봐요.
My answer is wrong.,내 답이 틀렸어요.
"Every year, we celebrate a big party.",매년 우리는 큰 파티를 열어요.
I don't yell at my friend.,나는 친구에게 소리치지 않아요.
Tim is yellow so he hides under the desk.,팀은 겁 많아서 책상 아래에 숨어요.
Yellow dust floats in the sky today.,오늘 하늘에 황사가 떠다녀요.
"Yes, I want to join the game.","네, 게임에 참여할 거예요."
Yesterday was a fun day.,어제가 즐거운 날이었어요.
A girl does yoga on the mat.,소녀가 매트 위에서 요가를 해요.
You are happy today.,너는 오늘 행복해요.
The young sleeps near its mother.,새끼가 어미 곁에서 자고 있어요.
The young boy plays in the park.,어린 소년이 공원에서 놀고 있어요.
The young boy plays in the park.,젊은 소년이 공원에서 놀고 있어요.
The yummy cake is on the table.,맛있는 케이크가 탁자 위에 있어요.
My brother is a zombie when he feels very sleepy.,내 오빠는 졸릴 때 무기력한 사람 같아요.
The fun zone is near the park.,이 지역은 공원 근처에 있어요.
The zoo has many animals.,동물원에는 많은 동물들이 있어요.
The girl walks	across the bridge.,소녀가 다리를 건너서 걸어요.
The rabbit hops across the small bridge.,토끼가 작은 다리를 가로질러 뛰어요.
I act on stage with my friends.,나는 친구들과 무대에서 연기하고 있어요.
I act and play with my friends.,나는 친구들과 함께 행동하고 놀아요.
An African is dancing happily.,아프리카 사람이 행복하게 춤추고 있어요.
An African friend is playing at the park.,아프리카 친구가 공원에서 놀고 있어요.
I play alone in the garden.,나는 정원에서 홀로 놀고 있어요.
I like to play alone in the park.,나는 공원에서 홀로 놀기를 좋아해요.
The boat drops its heavy anchor.,배가 무거운 닻을 내렸어요.
I anchor the boat to the dock.,나는 배를 부두에 고정시키고 있어요.
My toy car	angled to the left.,내 장난감 차가 왼쪽으로 비스듬이 움직였어요.
I draw a right angle in my math book.,나는 내 수학책에 직각을 그렸어요.
I saw an antique clock in the museum.,나는 박물관에서 골동품 시계를 봤어요.
I have an antique toy in my room.,내 방에 골동품인 장난감이 있어요.
My friend goes to an audition for a play.,제 친구가 연극 오디션에 가요.
I will audition for the school play.,나는 학교 연극 오디션을 볼 거예요.
My family has a barbecue in the garden.,제 가족은 정원에서 바비큐를 해요.
We barbecue corn and chicken on the picnic.,우리는 소풍에서 옥수수와 치킨을 바비큐로 구워요.
I use black in my picture.,나는 그림에 검은색을 사용해요.
The black bird flies in the blue sky.,검은색의 새가 파란 하늘을 날아요.
The blossom is open in spring.,꽃이 봄에 활짝 피어요.
My tree will blossom in spring.,나의 나무가 봄에 꽃이 피어요.
My box has blue inside.,내 상자 안에 파란색이 있어요.
I see a blue bird.,나는 파란색의 새를 봐요.
I brush my teeth every morning.,나는 매일 아침 이를 닦아요.
I brush my hair every morning.,나는 매일 아침 내 머리를 빗질해요.
I hold a brush to paint a flower.,나는 붓으로 꽃을 그려요.
I use a brush to paint a beautiful picture.,나는 솔을 사용해서 예쁜 그림을 그려요.
I burn my hand when I touch something hot.,뜨거운 물건을 만져서 손에 화상을 입어요.
I have a small burn on my finger.	,내 손가락에 작은 화상이 생겼어요.
I call my friend on my phone.,친구에게 핸드폰으로 전화해요.
I call my mom every day.	I call my mom every day.,나는 매일 엄마에게 전화해요.	나는 매일 엄마에게 전화해요.
I go to camp with my friends.	,나는 친구들과 캠프에 가요.
We camp near the lake.,우리는 호숫가에서 야영해요.
I cancel my game.,내 게임을 취소해요.
I pressed cancel on the computer.,컴퓨터에서 cancel 버튼을 눌렀어요.
I take care of my school supplies.,나는 우리 학용품을 관리해요.
I care for the garden every day.,나는 매일 정원을 관리해요.
I will try this fun challenge.,나는 이 재미있는 도전을 시도해요.
I will challenge my friend in a fun race.,친구와 재미있는 경주에 도전해요.
I will change my old toy to a new one.,오래된 장난감을 새 장난감으로 바꿀 거예요.
I like a change from my usual game.,평소 게임 대신 색다른 놀이를 해서 좋아요.
The chemical is in the science lab.,화학물질이 과학 실험실에 있어요.
The chemical reaction makes bubbles in our experiment.,화학 반응이 우리 실험에서 거품을 만들어요.
I eat Chinese food with chopsticks.,저는 젓가락으로 중국 음식을 먹어요.
A Chinese boy rides a red bike.,중국인 소년이 빨간 자전거를 타고 있어요.
I clean my table every morning.,나는 매일 아침 탁자를 청소해요.
My room is clean and bright.,내 방이 깨끗하고 밝아요.
My close friend helps me after school.,제 친한 친구가 방과 후에 도와줘요.
Please close the door.,문을 닫아 주세요요.
The collapse of the bridge happened fast.,다리의 붕괴가 빨리 일어났어요.
The old building may collapse in an earthquake.,낡은 건물이 지진으로 붕괴될 수 있어요.
My friend is my company during recess.,친구가 쉬는 시간에 제 동석이에요.
I company my friend to school.,나는 친구와 함께 학교에 동석해요.
I gave a compliment to my friend.,내 친구에게 칭찬을 했어요.
I compliment my teacher every day.,저는 매일 선생님을 칭찬해요.
I will copyright my drawing.	,내 그림의 저작권을 등록할 거예요.	
Copyright protects the creative work of artists.,저작권은 예술가들의 창작물을 보호해요.
Buying a snack	cost money.,간식을 사는 데 돈이 들었어요.
The cost of the toy is five dollars.,장난감의 가격은 다섯 달러예요.
The dark hides many secrets at night.,어둠이 밤에 많은 비밀을 숨겨요.
We walk carefully in the dark garden.,우리는 어두운 정원에서 조심히 걸어요.
Today is the date on our school calendar.,오늘의 날짜가 우리 학교 달력에 표시되어 있어요.
I date my paper with today’s date.    I date my paper with today’s date.,나는 내 종이에 오늘 날짜를 적어요.
I see a decrease in my toy collection.,내 장난감 수가 감소하는 것을 봐요.
The number will	 decrease soon.,숫자가 곧 감소해요.
My drawing has a cool design.,내 그림은 멋진 디자인이 있어요.
I design a small car with my friend.,친구와 함께 작은 차를 설계해요.
I read the digest in class.,나는 수업 시간에 요약을 읽어요.
I will digest the story after I read it.,나는 이야기를 읽고 요약할 거예요.
I made a download on my computer.,컴퓨터에서 내려받기를 했어요.
I download a fun game on my tablet.,나는 태블릿에 재미있는 게임을 내려받아요.
I dream of magic lands.,나는 마법의 땅을 꿈꾸고 있어요.
I dream of a bright rainbow.,나는 밝은 무지개를 꿈꿔요.
I use a drill to make a small hole.,나는 작은 구멍을 만들기 위해 드릴을 사용해요.
The worker will drill a hole in the wood.,작업자가 나무에 구멍을 뚫을 거예요.
Our drive makes us happy and strong.,우리 단체 운동은 우리를 건강하고 행복하게 해요.
We drive together in a fun team exercise game.,우리는 재미있는 팀 운동 게임을 함께 해요.
I sent an email to my teacher.,나는 선생님께 전자우편을 보냈어요.
I email my teacher after school.,방과 후에 선생님에게 전자우편을 보내요.
The story had a happy end.,이야기가 행복한 끝이었어요.
Let's end our game now.,이제 우리 게임을 끝내요.
I exchange	my toy with my friend.,나는 내 장난감을 친구와 교환해요.
We did an exchange of our lunch snacks.,우리는 점심 간식을 교환했어요.
I do exercise after school.,나는 학교 끝나고 연습해요.
I do exercise in the park.,나는 공원에서 운동해요.
I exercise for our school play.,저는 학교 연극을 위해 연습해요.
I exercise every morning at the park.,나는 아침마다 공원에서 운동해요.
Our class will exhibit our art.,우리 반이 학교에서 미술 작품을 전시해요.
The museum has a nice exhibit.,박물관에 멋진 전시품이 있어요.
I experience fun when I play with friends.,저는 친구들과 놀 때 즐거운 경험을 해요.
I had a fun experience at the park.,나는 공원에서 재미있는 경험을 했어요.
I did a simple experiment in science class.,나는 과학 수업에서 간단한 실험을 했어요.
